Symbol,Name,Market Cap,Country,IPO Year,Volume,Sector,Industry
ADTN,ADTRAN Holdings Inc. Common Stock,370261907,United States,1994,1095550,Telecommunications,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,4446121,United States,2020,84278,Health Care,Biotechnology: Pharmaceutical Preparations
ADUS,Addus HomeCare Corporation Common Stock,1569661989,United States,2009,114766,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,1320158923,United States,2019,1534236,Consumer Discretionary,Advertising
ADVM,Adverum Biotechnologies Inc. Common Stock,239304170,United States,2014,99363,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADVWW,Advantage Solutions Inc. Warrant,38451231,United States,2019,1300,Consumer Discretionary,Advertising
ADX,Adams Diversified Equity Fund Inc.,0,United States,,228362,Finance,Investment Managers
ADXN,Addex Therapeutics Ltd American Depositary Shares,19650683,Switzerland,,18321,Health Care,Biotechnology: Pharmaceutical Preparations
AE,Adams Resources & Energy Inc. Common Stock,74458487,United States,1980,2521,Energy,Oil Refining/Marketing
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,0,United States,2021,395,Finance,Blank Checks
AEAEW,AltEnergy Acquisition Corp. Warrant,0,United States,2021,1700,Finance,Blank Checks
AEE,Ameren Corporation Common Stock,19060957100,United States,,1214164,Utilities,Power Generation
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,532518000,United States,,87857,Finance,Finance/Investors Services
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,0,United States,2019,82453,,
AEG,Aegon Ltd. New York Registry Shares,13028513158,Netherlands,,3965052,Finance,Life Insurance
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,2860410,China,,100027,Consumer Discretionary,Building Products
AEHR,Aehr Test Systems Common Stock,333965120,United States,1997,1191886,Industrials,Electrical Products
AEI,Alset Inc. Common Stock (TX),5840289,United States,2020,16409,Real Estate,Building operators
AEIS,Advanced Energy Industries Inc. Common Stock,3540257280,United States,1995,117751,Technology,Industrial Machinery/Components
AEL,American Equity Investment Life Holding Company Common Stock,4376528441,United States,2003,642387,Finance,Life Insurance
